"Id";"Identificador";"Empaquetado";"Cantidad";"Identificación";"Suministrador y ref";
1;"J301";"PinHeader_1x08_P2.54mm_Vertical";1;"Conn_01x08";;;
2;"H102,H101,H103,H104";"MountingHole_3.2mm_M3_Pad_Thin";4;"MountingHole";;;
3;"C401,C207,C201,C204,C205,C206,C210,C211,C212,C213,C214,C215,C216,C217,C218,C219,C220,C221,C222,C223,C224,C225,C227,C228,C229,C230,C301,C302,C303,C403,C406,C409,C410,C501,C502,C701,C702,C703,C704,C705,C706";"C_0805_2012Metric_Pad1.15x1.40mm_HandSolder";41;"100nF";;;
4;"C304";"C_0805_2012Metric_Pad1.15x1.40mm_HandSolder";1;"2.2nF";;;
5;"U401";"NAU8814_QFN-24_4x4mm_Pitch0.5mm_EPAD_HandSoldering";1;"NAU8814";;;
6;"U301";"InvenSense_QFN-24_4x4mm_P0.5mm_HandSoldering";1;"MPU-6050";;;
7;"U601";"mpcie-socket-latch";1;"MPCIE-Socket";;;
8;"U202";"LQFP144-M05";1;"LPC4337JBD144";;;
9;"U801";"SOIC-16_3.9x9.9mm_P1.27mm";1;"74HC4053";;;
10;"X201";"FA238V-XTAL";1;"12MHz";;;
11;"U501,U203";"SOIC-8_3.9x4.9mm_P1.27mm";2;"STS8C5H30L";;;
12;"R501,R204,R205,R207,R210,R211,R214,R217,R405,R406,R407,R408,R601,R602,R603,R701,R702,R703";"R_0805_2012Metric_Pad1.15x1.40mm_HandSolder";18;"10K";;;
13;"FB502,FB501";"L_0805_2012Metric_Pad1.15x1.40mm_HandSolder";2;"HZ0805E601R-10";;;
14;"C202,C203,C208,C209,C405";"C_0805_2012Metric_Pad1.15x1.40mm_HandSolder";5;"20pF";;;
15;"C226";"C_1206_3216Metric_Pad1.42x1.75mm_HandSolder";1;"10uF 10V";;;
16;"C402,C404,C407,C408,C411,C414,C420";"C_0805_2012Metric_Pad1.15x1.40mm_HandSolder";7;"4.7uF";;;
17;"C412,C413";"C_0805_2012Metric_Pad1.15x1.40mm_HandSolder";2;"1uF";;;
18;"C415";"C_0805_2012Metric_Pad1.15x1.40mm_HandSolder";1;"10nF";;;
19;"C416,C418";"C_0805_2012Metric_Pad1.15x1.40mm_HandSolder";2;"10pF";;;
20;"C417,C419";"C_0805_2012Metric_Pad1.15x1.40mm_HandSolder";2;"33pF";;;
